day,time,Time,type,theme,nbr likes,nbr share,nbr comment,eng,total.eng
Saturday,19:17,Après 19h,video,Identite,615,62,287,964,Engagement très fort
Wednesday,12:42,11h-14h,text+link,Relation,542,9,319,870,Engagement très fort
Friday,19:24,Après 19h,text+video,Identite,601,48,195,844,Engagement très fort
Friday,12:37,11h-14h,text+photo,Administration,859,24,127,1010,Engagement très fort
Saturday,20:19,Après 19h,video,Identite,456,68,147,671,Engagement très fort
Thursday,10:52,9h-11h,text+link+photo,Relation,374,14,113,501,Engagement très fort
Saturday,10:26,9h-11h,text+link,Relation,473,7,87,567,Engagement très fort
Saturday,19:17,Après 19h,video,Identite,382,52,87,521,Engagement très fort
Sunday,17:34,17h-19h,text+link,Relation,339,16,62,417,Engagement très fort
Thursday,11:28,11h-14h,text+video,Identite,2500,265,162,2927,Engagement très fort
Friday,13:37,11h-14h,text+photo,Identite,777,124,42,943,Engagement très fort
Monday,15:28,14h-17h,text+link+photo,Information,274,8,43,325,Engagement très fort
Thursday,7:15,Avant 9h,text+video,Identite,315,30,48,393,Engagement très fort
Wednesday,14:17,14h-17h,text+photo,Identite,343,31,30,404,Engagement très fort
Monday,15:34,14h-17h,text+video,Identite,768,192,67,1027,Engagement très fort
Tuesday,10:56,9h-11h,text+link+video,Relation,620,155,31,806,Engagement très fort
Monday,5:44,Avant 9h,text+link,Relation,435,31,20,486,Engagement très fort
Saturday,22:06,Après 19h,video,Identite,326,27,43,396,Engagement très fort
Tuesday,15:34,14h-17h,text+link+photo,Recherche,1406,86,52,1544,Engagement très fort
Friday,16:58,14h-17h,text+link+photo,Information,270,10,24,304,Engagement très fort
Wednesday,13:25,11h-14h,text+link+photo,Relation,235,38,22,295,Engagement très fort
Wednesday,14:40,14h-17h,text+video,Identite,1300,259,51,1610,Engagement très fort
Tuesday,11:52,11h-14h,text+photo,Relation,280,20,21,321,Engagement très fort
Friday,13:05,11h-14h,photo,Identite,227,6,19,252,Engagement très fort
Saturday,12:00,11h-14h,text+link,Identite,353,50,18,421,Engagement très fort
Thursday,8:26,Avant 9h,text+video,Relation,577,103,33,713,Engagement très fort
Wednesday,20:15,Après 19h,text+link+video,Education,375,25,31,431,Engagement très fort
Thursday,4:16,Avant 9h,text+photo,Identite,677,66,29,772,Engagement très fort
Tuesday,13:11,11h-14h,text+link,Recherche,268,17,24,309,Engagement très fort
Tuesday,12:48,11h-14h,text+link+photo,Recherche,145,15,15,175,Engagement fort
Tuesday,13:28,11h-14h,text+link,Identite,67,3,15,85,Engagement fort
Friday,14:37,14h-17h,text+video,Identite,333,59,39,431,Engagement très fort
Wednesday,14:41,14h-17h,text+photo,Identite,266,10,14,290,Engagement très fort
Wednesday,17:36,17h-19h,text+link+photo,Relation,422,114,28,564,Engagement très fort
Friday,11:37,11h-14h,text+link,Information,1100,29,26,1155,Engagement très fort
Tuesday,13:49,11h-14h,text+photo,Identite,475,24,21,520,Engagement très fort
Tuesday,19:33,Après 19h,text+link,Information,269,42,17,328,Engagement très fort
Thursday,14:43,14h-17h,text+video,Identite,413,70,17,500,Engagement très fort
Wednesday,15:40,14h-17h,text+video,Relation,185,24,14,223,Engagement très fort
Thursday,14:38,14h-17h,text+photo,Relation,279,23,13,315,Engagement très fort
Saturday,10:25,9h-11h,text+photo,Relation,218,9,11,238,Engagement très fort
Monday,14:10,14h-17h,text+link+photo,Relation,80,9,10,99,Engagement fort
Friday,12:00,11h-14h,link,Relation,345,29,17,391,Engagement très fort
Friday,0:35,Avant 9h,text+link+photo,Information,212,6,10,228,Engagement très fort
Tuesday,19:52,Après 19h,text+photo,Relation,228,26,35,289,Engagement très fort
Wednesday,14:24,14h-17h,text+video,Identite,231,26,20,277,Engagement très fort
Monday,12:27,11h-14h,text+link,Identite,311,16,18,345,Engagement très fort
Thursday,12:09,11h-14h,text+link+video,Identite,505,82,16,603,Engagement très fort
Tuesday,10:43,9h-11h,text+video,Identite,131,17,11,159,Engagement fort
Wednesday,11:42,11h-14h,text+photo,Information,315,7,8,330,Engagement très fort
Tuesday,3:57,Avant 9h,text+link+photo,Identite,213,5,20,238,Engagement très fort
Thursday,10:39,9h-11h,text+video,Identite,244,46,17,307,Engagement très fort
Monday,11:33,11h-14h,text+video,Identite,107,34,13,154,Engagement fort
Friday,12:41,11h-14h,text+photo,Relation,341,49,12,402,Engagement très fort
Saturday,15:19,14h-17h,text+link+video,Identite,396,43,12,451,Engagement très fort
Saturday,11:15,11h-14h,text+link+photo,Identite,603,36,12,651,Engagement très fort
Thursday,12:32,11h-14h,text+link,Relation,173,9,10,192,Engagement fort
Thursday,9:55,9h-11h,text+link+photo,Identite,237,6,9,252,Engagement très fort
Saturday,7:23,Avant 9h,text+link,Identite,158,1,8,167,Engagement fort
Friday,11:08,11h-14h,text+link+photo,Relation,133,18,7,158,Engagement fort
Monday,10:11,9h-11h,text+video,Information,90,17,7,114,Engagement fort
Monday,13:03,11h-14h,text+photo,Identite,200,6,43,249,Engagement très fort
Friday,11:11,11h-14h,text+link+photo,Identite,538,63,13,614,Engagement très fort
Thursday,12:58,11h-14h,text+video,Identite,272,51,12,335,Engagement très fort
Thursday,12:00,11h-14h,link,Information,276,14,12,302,Engagement très fort
Saturday,23:12,Après 19h,text+link+photo,Identite,338,14,11,363,Engagement très fort
Tuesday,12:22,11h-14h,text+link+photo,Identite,113,0,7,120,Engagement fort
Tuesday,11:34,11h-14h,text+link+photo,Relation,101,6,7,114,Engagement fort
Tuesday,11:00,9h-11h,text+link,Administration,267,12,141,420,Engagement très fort
Thursday,16:30,14h-17h,text+link,Identite,639,29,35,703,Engagement très fort
Sunday,16:40,14h-17h,text+video,Information,227,11,23,261,Engagement très fort
Tuesday,10:00,9h-11h,text+link,Administration,218,3,14,235,Engagement très fort
Monday,13:52,11h-14h,text+photo,Relation,354,53,11,418,Engagement très fort
Wednesday,16:54,14h-17h,text+link,Information,58,1,9,68,Engagement intermédiaire
Sunday,13:06,11h-14h,text+photo,Identite,274,6,8,288,Engagement très fort
Thursday,22:15,Après 19h,text+photo,Identite,348,13,7,368,Engagement très fort
Wednesday,13:40,11h-14h,text+video,Identite,417,42,72,531,Engagement très fort
Monday,10:56,9h-11h,text+video,Identite,426,52,33,511,Engagement très fort
Sunday,20:35,Après 19h,text+video,Relation,388,32,24,444,Engagement très fort
Tuesday,11:43,11h-14h,text+video,Identite,83,10,9,102,Engagement fort
Tuesday,9:45,9h-11h,text+link+video,Identite,162,30,9,201,Engagement très fort
Thursday,12:35,11h-14h,text+video,Relation,114,9,9,132,Engagement fort
Tuesday,10:34,9h-11h,photo,Identite,328,5,8,341,Engagement très fort
Tuesday,0:52,Avant 9h,text+photo,Relation,367,19,7,393,Engagement très fort
Monday,3:27,Avant 9h,text+link+photo,Identite,121,10,7,138,Engagement fort
Wednesday,10:10,9h-11h,text+link,Relation,205,10,7,222,Engagement très fort
Monday,11:33,11h-14h,text+link+photo,Identite,53,4,7,64,Engagement intermédiaire
Saturday,8:00,Avant 9h,text+photo,Relation,357,22,6,385,Engagement très fort
Friday,10:55,9h-11h,text+link+photo,Information,80,7,5,92,Engagement fort
Wednesday,12:52,11h-14h,text+video,Identite,300,43,5,348,Engagement très fort
Thursday,10:31,9h-11h,text+link+photo,Recherche,85,4,4,93,Engagement fort
Tuesday,11:38,11h-14h,text+link+photo,Information,48,8,4,60,Engagement intermédiaire
Friday,20:56,Après 19h,link,Relation,117,2,4,123,Engagement fort
Thursday,17:57,17h-19h,text+photo,Identite,315,10,4,329,Engagement très fort
Friday,1:49,Avant 9h,text+link,Identite,207,25,20,252,Engagement très fort
Friday,5:23,Avant 9h,text+link,Relation,290,38,13,341,Engagement très fort
Monday,10:45,9h-11h,text+photo,Relation,498,131,11,640,Engagement très fort
Friday,23:07,Après 19h,text+link+photo,Identite,311,19,9,339,Engagement très fort
Thursday,13:18,11h-14h,text+link,Administration,70,4,7,81,Engagement fort
Monday,16:28,14h-17h,video,Identite,64,16,7,87,Engagement fort
Tuesday,1:15,Avant 9h,text+photo,Relation,82,8,6,96,Engagement fort
Tuesday,4:35,Avant 9h,text+link+photo,Identite,68,3,5,76,Engagement intermédiaire
Friday,12:01,11h-14h,text+link+photo,Identite,141,8,5,154,Engagement fort
Tuesday,20:08,Après 19h,text+link,Relation,89,9,5,103,Engagement fort
Thursday,9:29,9h-11h,text+photo,Relation,196,22,4,222,Engagement très fort
Wednesday,15:55,14h-17h,text+link,Identite,325,17,4,346,Engagement très fort
Wednesday,14:03,14h-17h,link,Identite,128,11,4,143,Engagement fort
Friday,17:17,17h-19h,text+video,Identite,83,11,4,98,Engagement fort
Friday,19:03,Après 19h,link,Identite,166,2,4,172,Engagement fort
Monday,9:24,9h-11h,text+link+photo,Identite,57,5,4,66,Engagement intermédiaire
Wednesday,9:31,9h-11h,text+link ,Identite,105,10,4,119,Engagement fort
Wednesday,15:29,14h-17h,text+link+photo,Identite,100,9,3,112,Engagement fort
Friday,14:44,14h-17h,text+photo,Identite,86,25,3,114,Engagement fort
Thursday,13:30,11h-14h,text+photo,Information,169,3,3,175,Engagement fort
Monday,11:09,11h-14h,text+photo,Identite,159,11,3,173,Engagement fort
Tuesday,13:33,11h-14h,text+link,Identite,37,1,3,41,Engagement intermédiaire
Friday,14:28,14h-17h,text+photo,Identite,116,8,3,127,Engagement fort
Friday,14:48,14h-17h,link,Identite,125,3,3,131,Engagement fort
Friday,19:32,Après 19h,text+link,Relation,24,0,3,27,engagement faible
Wednesday,1:12,Avant 9h,text+link+photo,Identite,383,33,3,419,Engagement très fort
Tuesday,19:13,Après 19h,text+video,Identite,60,11,3,74,Engagement intermédiaire
Friday,18:45,17h-19h,text+link,Identite,264,43,94,401,Engagement très fort
Wednesday,13:42,11h-14h,text+photo,Identite,271,18,7,296,Engagement très fort
Wednesday,13:43,11h-14h,text+video,Identite,140,18,7,165,Engagement fort
Monday,14:58,14h-17h,text+link+photo,Information,101,2,6,109,Engagement fort
Monday,9:43,9h-11h,text+link,Relation,118,3,6,127,Engagement fort
Wednesday,14:03,14h-17h,text+video,Administration,174,33,6,213,Engagement très fort
Friday,15:48,14h-17h,text+link+video,Education,51,7,6,64,Engagement intermédiaire
Friday,14:11,14h-17h,text+photo,Identite,147,8,6,161,Engagement fort
Tuesday,21:53,Après 19h,text+link+photo,Identite,292,7,5,304,Engagement très fort
