type,theme,time,day,eng,total.eng
texte+lien+photo,Administration,Avant 9h,Saturday,348,Engagement très fort
texte+photo,Identite,17h-19h,Tuesday,263,Engagement très fort
texte+lien+photo,Identite,14h-17h,Tuesday,149,Engagement fort
texte+photo,Relation,11h-14h,Tuesday,119,Engagement fort
texte+photo,Relation,17h-19h,Saturday,111,Engagement fort
texte+lien+photo,Identite,17h-19h,Friday,99,Engagement fort
texte+video,Identite,Avant 9h,Tuesday,89,Engagement fort
texte+lien,Administration,14h-17h,Friday,89,Engagement fort
texte+video,Relation,17h-19h,Friday,87,Engagement fort
texte+video,Relation,14h-17h,Friday,77,Engagement fort
texte+lien,Information,11h-14h,Friday,75,Engagement fort
texte+video,Identite,Après 19h,Thursday,74,Engagement fort
texte+video,Identite,11h-14h,Saturday,72,Engagement fort
texte,Identite,9h-11h,Saturday,67,Engagement fort
texte+photo,Identite,9h-11h,Monday,65,Engagement fort
texte+lien,Information,Après 19h,Thursday,57,Engagement fort
texte+photo,Relation,11h-14h,Wednesday,54,Engagement intermédiaire
texte+lien,Identite,14h-17h,Monday,54,Engagement intermédiaire
texte+lien,Relation,9h-11h,Tuesday,53,Engagement intermédiaire
texte+photo,Information,14h-17h,Saturday,51,Engagement intermédiaire
texte+lien,Administration,Avant 9h,Monday,49,Engagement intermédiaire
texte+photo,Identite,11h-14h,Thursday,48,Engagement intermédiaire
texte+lien,Administration,11h-14h,Monday,48,Engagement intermédiaire
texte+lien,Identite,14h-17h,Wednesday,47,Engagement intermédiaire
texte+lien,Identite,11h-14h,Tuesday,47,Engagement intermédiaire
texte+lien+photo,Relation,14h-17h,Wednesday,47,Engagement intermédiaire
texte+lien+photo,Identite,Avant 9h,Monday,43,Engagement intermédiaire
texte+photo,Identite,Avant 9h,Tuesday,43,Engagement intermédiaire
texte+lien,Identite,17h-19h,Thursday,42,Engagement intermédiaire
texte+lien+photo,Administration,11h-14h,Monday,41,Engagement intermédiaire
texte+lien,Information,11h-14h,Friday,39,Engagement intermédiaire
texte+photo,Identite,14h-17h,Sunday,37,Engagement intermédiaire
texte+photo,Identite,Après 19h,Wednesday,37,Engagement intermédiaire
texte+lien+photo,Identite,17h-19h,Sunday,36,Engagement intermédiaire
texte+photo,Relation,Avant 9h,Tuesday,36,Engagement intermédiaire
texte+lien+photo,Relation,Avant 9h,Saturday,36,Engagement intermédiaire
texte+video,Identite,11h-14h,Friday,36,Engagement intermédiaire
texte,Identite,14h-17h,Thursday,35,Engagement intermédiaire
texte+lien,Information,11h-14h,Monday,35,Engagement intermédiaire
texte+lien,Administration,17h-19h,Friday,35,Engagement intermédiaire
texte+photo,Identite,14h-17h,Friday,34,Engagement intermédiaire
texte+photo,Identite,14h-17h,Thursday,34,Engagement intermédiaire
texte+video,Identite,17h-19h,Monday,34,Engagement intermédiaire
texte+lien,Identite,17h-19h,Saturday,33,Engagement intermédiaire
texte+lien+photo,Identite,11h-14h,Sunday,33,Engagement intermédiaire
texte+lien,Administration,Avant 9h,Monday,32,Engagement intermédiaire
texte+lien,Information,14h-17h,Wednesday,32,Engagement intermédiaire
texte+video,Identite,14h-17h,Wednesday,32,Engagement intermédiaire
texte+lien,Identite,Après 19h,Tuesday,32,Engagement intermédiaire
texte+lien+photo,Identite,17h-19h,Thursday,32,Engagement intermédiaire
texte+photo,Relation,9h-11h,Saturday,32,Engagement intermédiaire
texte+lien+photo,Identite,14h-17h,Tuesday,31,Engagement intermédiaire
texte+video,Identite,Avant 9h,Thursday,31,Engagement intermédiaire
texte+photo,Identite,14h-17h,Tuesday,31,Engagement intermédiaire
texte+lien,Identite,14h-17h,Tuesday,31,Engagement intermédiaire
texte+photo,Identite,9h-11h,Wednesday,31,Engagement intermédiaire
texte+lien,Recherche,9h-11h,Thursday,31,Engagement intermédiaire
texte+lien,Relation,11h-14h,Tuesday,31,Engagement intermédiaire
texte+lien,Information,11h-14h,Thursday,31,Engagement intermédiaire
texte+photo,Relation,Avant 9h,Thursday,29,Engagement intermédiaire
texte+lien+photo,Identite,9h-11h,Wednesday,28,Engagement intermédiaire
